sNum,sID,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,habTrialNo,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,1,1,Hab,onlyDuck,0,1,20.01016672399419,1,2.0002011750038946,1,0,0,22.010373286990216,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,2,1,Hab,onlyBall,0,2,2.381282090995228,2,2.166497502999846,2,0,0,4.547785538001335,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,3,1,Hab,onlyShoe,0,3,1.0093904529931024,1,2.01676764000149,1,0,0,3.0261638939991826,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,4,1,Hab,justBall,11.70041963399126,4,0.5099589619931066,1,2.016298276008456,1,0,0,2.526262792001944,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,5,1,Hab,justDuck,11.70041963399126,5,0.5314061630051583,1,2.0167833989980863,1,0,0,2.5481953300040914,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,6,1,Hab,justShoe,11.70041963399126,6,3.181122994996258,1,2.0002937159879366,1,0,0,5.181423093003104,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,7,1,test,nowDuck,11.70041963399126,,1.476929618002032,1,2.0010639230022207,1,0,0,3.477999317998183,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,8,1,test,nowBall,11.70041963399126,,1.2615433039900381,3,2.5012252680025995,3,0,0,3.7627754309942247,1
test1,1,240,4,,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}",1,9,1,test,nowShoe,11.70041963399126,,1.1784560350060929,1,2.000179128997843,1,0,0,3.1786414359958144,1
