snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
1,230,2,,,1,1,1,really,0,3.912292166998668,3.912292166998668
1,230,2,,,1,0,1,really,3.912294836000001,4.546054855998591,0.63376001999859
